stock_date,open,high,low,close,adjclose,volume,prev_1day_mean_score,prev_1day_news_count,prev_1day_mean_numeric
2016-02-16,0.652499974,0.675750017,0.6505,0.67474997,0.658637583,485352000,0.0,0.0,0.0
2016-02-17,0.68325001,0.698000014,0.680499971,0.691500008,0.674987495,771468000,0.0,0.0,0.0
2016-02-18,0.748250008,0.774500012,0.747500002,0.750999987,0.733066678,1068660000,0.0,0.0,0.0
2016-02-19,0.746999979,0.767750025,0.741249979,0.760999978,0.742827833,525628000,0.0,0.0,0.0
2016-02-22,0.772000015,0.796750009,0.770500004,0.787999988,0.76918298,449668000,0.0,0.0,0.0
2016-02-23,0.781750023,0.797500014,0.777999997,0.790000021,0.77113539,369380000,0.0,0.0,0.0
2016-02-24,0.786750019,0.796750009,0.764999986,0.79549998,0.77650398,336852000,0.0,0.0,0.0
2016-02-25,0.798500001,0.801249981,0.782999992,0.797249973,0.778212488,349616000,0.0,0.0,0.0
2016-02-26,0.800999999,0.802999973,0.783999979,0.791999996,0.77308768,361964000,0.0,0.0,0.0
2016-02-29,0.790250003,0.800499976,0.783500016,0.783999979,0.768066704,323344000,0.0,0.0,0.0
2016-03-01,0.786000013,0.818750024,0.784749985,0.818750024,0.802110493,348700000,0.0,0.0,0.0
2016-03-02,0.814249992,0.826499999,0.812749982,0.823499978,0.806764066,233812000,0.0,0.0,0.0
2016-03-03,0.82249999,0.825999975,0.805249989,0.816250026,0.799661577,302004000,0.0,0.0,0.0
2016-03-04,0.82249999,0.823249996,0.807500005,0.813750029,0.797212124,175304000,0.0,0.0,0.0
2016-03-07,0.809249997,0.814750016,0.797999978,0.808499992,0.792068958,239968000,0.0,0.0,0.0
2016-03-08,0.800249994,0.805000007,0.79124999,0.793749988,0.777618527,274940000,0.0,0.0,0.0
2016-03-09,0.800750017,0.801999986,0.782999992,0.793250024,0.777128935,222788000,0.0,0.0,0.0
2016-03-10,0.797999978,0.80250001,0.776000023,0.791999996,0.775904238,286084000,0.0,0.0,0.0
2016-03-11,0.803749979,0.805750012,0.794250011,0.805499971,0.789129853,277400000,0.0,0.0,0.0
2016-03-14,0.801750004,0.810750008,0.797999978,0.807500005,0.791089177,190312000,0.0,0.0,0.0
2016-03-15,0.803250015,0.808499992,0.789250016,0.803499997,0.787170529,226216000,0.0,0.0,0.0
2016-03-16,0.797500014,0.830250025,0.793749988,0.827499986,0.810682654,363644000,0.0,0.0,0.0
2016-03-17,0.824500024,0.828499973,0.809249997,0.820500016,0.80382514,353680000,0.0,0.0,0.0
2016-03-18,0.830250025,0.856249988,0.824999988,0.84525001,0.828071892,545512000,0.0,0.0,0.0
2016-03-21,0.837750018,0.84799999,0.828750014,0.847750008,0.830521107,337780000,0.0,0.0,0.0
2016-03-22,0.845000029,0.85224998,0.835749984,0.846249998,0.829051614,242012000,0.0,0.0,0.0
2016-03-23,0.850000024,0.866999984,0.846249998,0.86075002,0.84325695,429008000,0.0,0.0,0.0
2016-03-24,0.852999985,0.863499999,0.850250006,0.861999989,0.844481587,244956000,0.0,0.0,0.0
2016-03-28,0.860499978,0.874499977,0.859499991,0.87075001,0.853053749,265388000,0.5040415525436401,1.0,-1.0
2016-03-29,0.866999984,0.886749983,0.86500001,0.884750009,0.866769373,261812000,0.0,0.0,0.0
2016-03-30,0.888000011,0.90625,0.887499988,0.893999994,0.875831246,376700000,0.8884881933530172,3.0,0.0
2016-03-31,0.898000002,0.899999976,0.883750021,0.890749991,0.872647405,379884000,0.9380221962928772,1.0,1.0
2016-04-01,0.885249972,0.904250026,0.878499985,0.903750002,0.885383308,348292000,0.5472635626792908,1.0,-1.0
2016-04-04,0.911249995,0.916000009,0.891499996,0.894999981,0.876810968,393940000,0.0,0.0,0.0
2016-04-05,0.887000024,0.90200001,0.88349998,0.893750012,0.875586152,339568000,0.9245474934577942,1.0,-1.0
2016-04-06,0.882499993,0.895500004,0.865750015,0.894999981,0.876810968,453376000,0.8367291490236918,3.0,-0.6666666666666666
2016-04-07,0.88924998,0.897249997,0.882000029,0.885749996,0.867748857,378104000,0.9123639464378357,1.0,-1.0
2016-04-08,0.893000007,0.898750007,0.882749975,0.891499996,0.873382032,255936000,0.9638155996799469,2.0,-1.0
2016-04-11,0.896749973,0.911750019,0.893999994,0.897000015,0.878770471,387524000,0.761199563741684,2.0,-0.5
2016-04-12,0.899999976,0.901250005,0.878499985,0.896000028,0.877790749,292764000,0.8465955872088671,16.0,-0.375
2016-04-13,0.899999976,0.918749988,0.899999976,0.918500006,0.899833381,350716000,0.8458433042873036,11.0,-0.09090909090909091
2016-04-14,0.916000009,0.925000012,0.912249982,0.921000004,0.902282417,416564000,0.7844029863675436,3.0,0.0
2016-04-15,0.920750022,0.936500013,0.917750001,0.928250015,0.909385204,436972000,0.7801845073699951,1.0,1.0
2016-04-18,0.926500022,0.926500022,0.915250003,0.924250007,0.905466437,307320000,0.7619173725446066,3.0,-0.6666666666666666
2016-04-19,0.927749991,0.929499984,0.90200001,0.90775001,0.889301836,309152000,0.7776998281478882,2.0,0.0
2016-04-20,0.90625,0.916750014,0.905250013,0.911249995,0.892730713,200172000,0.8724356293678284,1.0,0.0
2016-04-21,0.911499977,0.915750027,0.90625,0.910250008,0.891750991,178280000,0.8315292596817017,1.0,0.0
2016-04-22,0.913250029,0.919499993,0.903750002,0.906750023,0.888322175,223540000,0.0,0.0,0.0
2016-04-25,0.907000005,0.91624999,0.904500008,0.911249995,0.892730713,191972000,0.8958951234817505,1.0,0.0
2016-04-26,0.916750014,0.927250028,0.907999992,0.912,0.893465519,214536000,0.7851227521896362,1.0,0.0
2016-04-27,0.909749985,0.93325001,0.907999992,0.932749987,0.913793623,352396000,0.6814042925834656,1.0,0.0
2016-04-28,0.926999986,0.932500005,0.902750015,0.904999971,0.886607707,381224000,0.0,0.0,0.0
2016-04-29,0.901250005,0.903249979,0.878499985,0.888249993,0.87019819,321904000,0.0,0.0,0.0
2016-05-02,0.896749973,0.905499995,0.892499983,0.899999976,0.881709278,256076000,0.0,0.0,0.0
